Sr_No,Date,Startup,Industry_Vertical,SubVertical,City,Investors,Investment_Type,Amount,Remarks
2270,2015-11-25,EarlySalary.com,Mobile App Based Loan Disbursement Platform,,Mumbai,Ashok Agarwal,Seed Funding,1500000.0,
2271,2015-11-25,Tooler,On Demand Laundry Services App,,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,110000.0,
2272,2015-11-25,S Chand,Education Content Provider,,New Delhi,IFC Everstone Group,Private Equity,27000000.0,
2274,2015-11-26,GoQii,Fitness Tracking Management Solutions,,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000.0,Series B
2275,2015-11-26,Grofers,Hyper-Local Grocery Delivery Platform,,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000.0,Late Stage
2276,2015-11-26,Pluss,Hyperlocal Healthcare Product Delivery Service Provider,,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000.0,Pre-Series A
2279,2015-11-27,JustRide,Self Driven Rental Car Platform,,Mumbai,Undisclosed,Private Equity,2000000.0,Pre-Series A bridge round
2284,2015-11-30,Baxi,Two-Wheeler Taxi Service,,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,1450000.0,
2285,2015-11-30,Superhero Brands,Character Merchandize Sales Platform,,Mumbai,DSG Consumer Partners,Seed Funding,540000.0,
2287,2015-11-30,QikPod,Ecommerce Delivery Locker Services,,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000.0,Series A
2293,2015-10-01,Muvizz,Movie-On-Demand Platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000.0,
2296,2015-10-02,Shopalyst,Product Discovery & Recommendation Platform,,Bangalore,Kalaari Capital,Private Equity,2000000.0,Series A
2297,2015-10-03,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,6000000.0,Series A
2298,2015-10-05,Nykaa,Beauty & Wellness Products E-Tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000.0,Series B
2299,2015-10-05,Voylla,Fashion Jewelry And Accessories E-Tailer,,Jaipur,Peepul Capital,Private Equity,15000000.0,Series B
2300,2015-10-05,IndiaLends,Online Consumer Lending Platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000.0,Pre-Series A Bridge round
2301,2015-10-05,Rock N Shop,Premium Apparel Shopping Portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,150000.0,
2302,2015-10-06,DocPlexus,Exclusive Platform For Doctors & Healthcare Professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,700000.0,
2303,2015-10-06,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000.0,Pre-Series A
2304,2015-10-06,SportzVillage,Sports Management & Physical Education Business,,Bangalore,Gaja Capital Private Equity Fund,Private Equity,10000000.0,Series B
2306,2015-10-06,Burger Singh,Qsr & Online Delivery Portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000.0,Bridge Round
2307,2015-10-06,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,6000000.0,Pre-Series A
2308,2015-10-07,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & USA,Private Equity,3000000.0,Series A
2310,2015-10-07,GoJavas,Delivery & Logistics Service Provider,,Gurgaon,Snapdeal,Private Equity,20000000.0,Strategic Funding (Series C)
2313,2015-10-08,ZuperMeal,Home Cooked Food Marketplace & Delivery,,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,2000000.0,Series A
2314,2015-10-08,Cube26,Gesture Based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000.0,Series A
2316,2015-10-08,Grabhouse,Rental Accommodation Search Platform,,Bangalore,Sequoia and Kalaari Capital.,Private Equity,10000000.0,Series B
2317,2015-10-08,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000.0,
2318,2015-10-09,Stockroom.io,Developer Portfolio Showcase Platform,,Hyderabad,Undisclosed Investors,Seed Funding,70000.0,
2320,2015-10-09,Cloud Lending,End-To-End Lending Platform,,Bangalore / San Mateo,SF Capital Group,Private Equity,8000000.0,Series A
2321,2015-10-09,Inayo,On-Demand Healthcare Marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000.0,
2323,2015-10-09,Kulzy,Advertising & Marketing Community Networking Platform,,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000.0,
2324,2015-10-09,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Seed Funding,77000.0,
2325,2015-10-12,Zify,Ride Sharing Platform,,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,190000.0,
2328,2015-10-12,Gridle,Cloud Based Collaboration Platform,,Ahmedabad,LetsVenture,Seed Funding,100000.0,
2331,2015-10-13,Voodoo,Mobile Only Shopping Assistant,,New Delhi,SAIF Partners,Seed Funding,1000000.0,
2332,2015-10-13,Lookup,Mobile Messaging Assistant App,,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,2500000.0,Series A
2333,2015-10-14,AskMyGift,Personalized Wish List Creator App,,Noida,Turning Ideas,Seed Funding,50000.0,
2335,2015-10-14,Zappfresh,Raw Meat & Ready To Eat Food Etailer,,Gurgaon,Undisclosed Investors,Seed Funding,77000.0,
2341,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Mumbai,Parampara Capital,Private Equity,1000000.0,Series A
2343,2015-10-19,Citrus Payment,Payments Solution Platform,,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,25000000.0,Series C
2344,2015-10-19,Holidify,Travel Destination Discovery Platform,,New Delhi,Aarti Group,Seed Funding,100000.0,
2346,2015-10-20,Opinio,Last Mile Delivery Service,,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,7000000.0,Series A
2347,2015-10-20,Attune Technologies,Healthcare It Solutions & Services,,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000.0,Series B
2350,2015-10-21,AgentDesks,Real Estate Mobile Crm,,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000.0,
2351,2015-10-21,White Owl Brewery,Micro-Brewery,,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,1530000.0,Series A
2352,2015-10-21,MealHopper,Home Made Food Marketplace,,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000.0,
2353,2015-10-21,Zenify.in,Residential Rental Management Platform,,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000.0,
2355,2015-10-23,Medd,Personal Diagnostic Mobile App,,Mumbai,Group of Angel investors,Seed Funding,150000.0,Bridge Round
2356,2015-10-23,Leaping Caravan,Online Food Ordering & Delivery Service,,Gurgaon,Group of Angel investors,Seed Funding,150000.0,
2357,2015-10-23,Frsh,Online Food Ordering & Delivery Service,,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000.0,Bridge Round
2358,2015-10-23,Qik Stay,Hotel Aggregator & Booking Platform,,New Delhi,ID Enablers Pvt Ltd,Seed Funding,250000.0,
2359,2015-10-26,Parcelled,Online Logistics Platform,,Bangalore,Delhivery,Private Equity,5000000.0,
2360,2015-10-26,AlmaMapper,Online Student & Campus Social Networking Platform,,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000.0,
2361,2015-10-26,Flexing It,Professionals & Project Search Marketplace,,New Delhi,undisclosed private investors,Seed Funding,500000.0,
2362,2015-10-26,Netmeds.com,Online Pharmacy,,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,50000000.0,Series A
2363,2015-10-26,Razorpay,Online Payment Gateway,,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000.0,Series A
2365,2015-10-27,Happitoo,Location Based Nightlife Recommendation\\Xc2\\Xa0 Platform,,Mumbai,Unnamed investor,Seed Funding,77000.0,
2366,2015-10-27,Care24,Professional Health Services Platform,,Mumbai,India Quotient,Seed Funding,350000.0,
2367,2015-10-27,Roadrunnr,Hyperlocal Logistics Service,,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000.0,Series B
2369,2015-10-28,ORIGA Leasing,Asset Financing Platform,,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,1100000.0,
2370,2015-10-28,Smartivity.in,Virtual Reality Activity Based Learning Platform,,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,200000.0,
2374,2015-10-29,ZopHop,Public Commute Helper App,,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,450000.0,
2377,2015-10-30,LiftO,Ridesharing Mobile App,,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000.0,
2378,2015-10-30,TinyOwl,Food Discovery & Delivery Mobile App,,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000.0,Series B
2379,2015-10-30,Toppr.com,Competitive Exam Learning Platform,,Mumbai,InnoVen Capital,Private Equity,2000000.0,Series C
2380,2015-10-30,Kleeto,Document Digitization Platform,,Gurgaon,GREX,Seed Funding,230000.0,pre-Series A
2381,2015-10-30,BeaconsTalk,Proximity Marketing & Mobile Advertising Platform,,Mumbai,Puneet Bhatia & others,Seed Funding,80000.0,
2382,2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking Platform,,Chandigarh,Paytm,Private Equity,10000000.0,Series B
2383,2015-09-01,TOFlo,Fintech Startup Incubation Platform,,Mumbai,Tania Johny Palathinkal,Seed Funding,100000.0,
2385,2015-09-01,Stylecracker,Personalized Styling Platform,,Mumbai,Group of HNI investors,Private Equity,1000000.0,Series A
2386,2015-09-01,Luxuryhues,Luxury Goods\\Xc2\\Xa0 Shopping Platform,,Gurgaon,Reliance Capital,Private Equity,900000.0,Series A
2388,2015-09-02,Zivame,Online Lingerie Marketplace,,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000.0,Series C
2389,2015-09-02,Capillary Tech,Cloud Software Solutions,,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000.0,Series D
2390,2015-09-03,Jobspire,Job Search Platform,,Bangalore,Purvi Capital,Seed Funding,260000.0,
2392,2015-09-03,Vistaar Finance,Small Business Financing (Nbfc),,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,40000000.0,
2394,2015-09-04,Clapsnslaps,Online Movie Review Platform,,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000.0,
2395,2015-09-04,Blubox,Ecommerce Brands\\Xe2\\X80\\X99 Full Service Agency,,Mumbai,Ashish Jhalani,Seed Funding,100000.0,
2396,2015-09-04,RoomCentral,Cloud-Based Hotel Booking Platform,,Bangalore,Karanpal Singh,Seed Funding,2000000.0,
2397,2015-09-07,YouthKiAwaaz,Community Driven News/Views Platform,,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000.0,
2398,2015-09-07,Prozo,Study Material Marketplace,,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000.0,
2399,2015-09-07,Zomato,Restaurant Ratings & Reviews Platform,,Gurgaon,"Temasek, Vy Capital",Private Equity,60000000.0,Late Stage
2400,2015-09-07,Sahayog Dairy,Dairy Based Product Manufacturer,,Bhopal,Acumen Fund,Private Equity,1800000.0,Series A
2401,2015-09-08,MockBank,Government Test Preparation Platform,,Bangalore,Blume Ventures,Seed Funding,400000.0,
2404,2015-09-10,OnlineTyari,Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.0,Series A
2405,2015-09-10,IndustryBuying,Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000.0,Series B
2406,2015-09-10,The/Nudge Foundation,Non Profit Organization To Alleviate Poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000.0,
2407,2015-09-11,FitMeIn,Gym & Fitness Studios Subscription Platform,,New Delhi,Green House Ventures,Seed Funding,100000.0,
2409,2015-09-11,Zapyle,Pre-Used Apparel Shopping Mobile App,,Bangalore,Undisclosed,Seed Funding,1000000.0,
